# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	726
#@/user_id	14dcda44-4cf5-46d6-81f2-e31514a0ac9f
a 	啊	c=9 d=6.46675 t=726
ge shi 	格式	c=1 d=0.818731 t=726
ge zhe 	搁这	c=2 d=1.91353 t=726
gei wo 	给我	c=1 d=0.970446 t=726
geng xin 	更新	c=2 d=1.65742 t=726
gou 	够	c=1 d=0.995012 t=726
gou wu che 	购物车	c=2 d=1.89335 t=726
gu ji 	估计	c=1 d=0.97531 t=726
guai shou 	怪兽	c=1 d=0.946485 t=726
guan bi 	关闭	c=1 d=0.965605 t=726
guan dao fu 	管道符	c=2 d=1.83272 t=726
guan le 	关了	c=1 d=0.985112 t=726
guang biao 	光标	c=1 d=0.913931 t=726
guo ke 	果壳	c=0 d=0.099005 t=726
guo le 	过了	c=3 d=2.9178 t=726
ha ha ha ha 	哈哈哈哈	c=1 d=0.980199 t=726
hai 	还	c=1 d=0.99005 t=726
hai bu neng mai 	还不能买	c=1 d=0.99005 t=726
hai cha 	还差	c=1 d=0.913931 t=726
hai mei 	还没	c=1 d=0.946485 t=726
hai nan 	还难	c=1 d=0.895834 t=726
hai neng 	还能	c=1 d=0.970446 t=726
hai shi 	还是	c=6 d=3.67538 t=726
hai yi wei 	还以为	c=1 d=0.97531 t=726
hai you 	还有	c=1 d=0.923116 t=726
hai zai 	还在	c=1 d=0.985112 t=726
hao 	号	c=2 d=1.4204 t=726
hao duo 	好多	c=1 d=0.97531 t=726
hao jia huo 	好家伙	c=1 d=0.88692 t=726
hao man chang 	好漫长	c=1 d=0.932394 t=726
hao xiang 	好像	c=3 d=2.1067 t=726
he 	和	c=3 d=2.27538 t=726
he xin 	核心	c=0 d=0.0995012 t=726
hen shuang 	很爽	c=1 d=0.941765 t=726
hou mian 	后面	c=0 d=0.0831104 t=726
hou xuan ci 	候选词	c=1 d=0.99005 t=726
hua xin 	花芯	c=1 d=0.995012 t=726
huang jin 	黄金	c=1 d=0.941765 t=726
hui tou 	回头	c=1 d=0.932394 t=726
huo yan 	火焰	c=1 d=0.995012 t=726
ji 	机	c=0 d=0.0995012 t=726
ji ji 	几级	c=1 d=0.995012 t=726
ji mao 	鸡毛	c=1 d=0.941765 t=726
ji shu he xin 	机枢核心	c=1 d=1 t=726
ji xie 	机械	c=1 d=0.937067 t=726
ji yi 	记忆	c=2 d=1.80121 t=726
jia le 	加了	c=1 d=0.852144 t=726
jia zai 	加载	c=1 d=0.932394 t=726
jiang 	将	c=1 d=0.843665 t=726
jiao ben 	脚本	c=4 d=3.51296 t=726
jiao tang 	教堂	c=1 d=0.951229 t=726
jin bu qu 	进不去	c=2 d=1.90032 t=726
jin hua 	进化	c=2 d=1.98511 t=726
jin lai 	进来	c=1 d=0.918512 t=726
jin qu 	进去	c=1 d=0.913931 t=726
jin wan 	今晚	c=1 d=0.99005 t=726
jing ran 	竟然	c=1 d=0.985112 t=726
jing ying 	精英	c=1 d=0.941765 t=726
jiu cha 	就差	c=1 d=0.909373 t=726
jiu shi 	就是	c=3 d=2.39331 t=726
ju qing 	剧情	c=3 d=2.28088 t=726
kai 	开	c=1 d=0.891366 t=726
kai huang 	开荒	c=1 d=0.904837 t=726
kai wan 	开玩	c=1 d=0.995012 t=726
kan 	看	c=1 d=0.960789 t=726
kan dao 	看到	c=1 d=0.965605 t=726
kan de 	看得	c=1 d=0.878095 t=726
kan ge 	看个	c=1 d=0.970446 t=726
kan kan 	看看	c=1 d=0.995012 t=726
kan lai 	看来	c=1 d=0.895834 t=726
kan shi pin 	看视频	c=1 d=0.951229 t=726
ke wo 	克我	c=1 d=1 t=726
ke yi 	可以	c=3 d=2.44898 t=726
ke yi wan 	可以玩	c=1 d=0.900325 t=726
kong dong qi shi 	空洞骑士	c=1 d=0.932394 t=726
ku shou 	苦手	c=1 d=0.865022 t=726
kuai jie jian 	快捷键	c=6 d=5.23123 t=726
kuai lai 	快来	c=1 d=0.752014 t=726
la ji 	垃圾	c=1 d=0.923116 t=726
lao 	捞	c=1 d=0.985112 t=726
lao zi 	老子	c=1 d=0.909373 t=726
